,단어명,사설 빈도수
870,협치,4
871,훈장,4
872,공론,4
873,커피,4
874,우물,4
875,전자,4
876,주인,4
877,한전,4
878,신문,4
879,화재,4
880,지층,4
881,중심,4
882,부동산,4
883,유해,4
884,가정,4
885,예멘,4
886,점검,4
887,위선,4
888,생존,4
889,보물,4
890,재벌,4
891,감축,4
892,백지,4
893,노회찬,4
894,반성,4
895,모제,4
896,전해,4
897,벌써,4
898,해석,4
899,단축,4
900,통화,4
901,낙마,4
902,근로,4
903,시스템,4
904,혼란,4
905,사기,4
906,지하철,4
907,일화,4
908,근로시간,4
909,고용부,4
910,거품,4
911,재고,4
912,질책,4
913,주인공,4
914,무분별,4
915,노래,4
916,의식,4
917,가나,4
918,단기간,4
919,환경부,4
920,엄벌,4
921,여론조사,4
922,증거,4
923,군산,4
924,어머니,4
925,역설,4
926,종업원,4
927,처리,4
928,음식,4
929,네이버,4
930,충돌,4
931,일제,4
932,젊은이,4
933,디지털,4
934,대로,4
935,전국,4
936,기억,4
937,악몽,4
938,비극,4
939,피해자,4
940,시인,4
941,빅터,4
942,초등,4
943,미세먼지,4
944,분산,4
945,만들기,4
946,분노,4
947,부통령,4
948,성공,4
949,한겨울,4
950,모자라,3
951,부정,3
952,의심,3
953,강제,3
954,모금,3
955,기지,3
956,점령,3
957,경제부총리,3
958,해이,3
959,홀로,3
960,이란,3
961,부작용,3
962,시행,3
963,응원,3
964,경기,3
965,관람,3
966,역주행,3
967,현금,3
968,스타,3
969,휴대폰,3
970,찬양,3
971,노동계,3
972,파업,3
973,국익,3
974,과장,3
975,무죄,3
976,센터,3
977,기피,3
978,약화,3
979,결단,3
980,허위,3
981,복지부,3
982,반발,3
983,한번,3
984,카풀,3
985,공유,3
986,사회주의,3
987,제발,3
988,찬성,3
989,날개,3
990,막말,3
991,도서관,3
992,교사,3
993,배치,3
994,중소기업,3
995,분열,3
996,노동당,3
997,창업,3
998,나이,3
999,폭우,3
1000,농성,3
1001,스포츠,3
1002,유발,3
1003,자제,3
1004,부회장,3
1005,공포,3
1006,운동권,3
1007,기반,3
1008,연봉,3
1009,양심,3
1010,농단,3
1011,침체,3
1012,법관,3
1013,인정,3
1014,경질,3
1015,제조업,3
1016,봉쇄,3
1017,폐해,3
1018,반란,3
1019,총수,3
1020,계산,3
1021,거짓,3
1022,통신,3
1023,직업,3
1024,한강,3
1025,구조,3
1026,대하,3
1027,시급,3
1028,기도,3
1029,내용,3
1030,무조건,3
1031,그늘,3
1032,인척,3
1033,난장판,3
1034,남녀,3
1035,찾기,3
1036,유행,3
1037,전선,3
1038,재난,3
1039,추억,3
1040,정당,3
1041,꼰대,3
1042,전체,3
1043,급식,3
1044,공조,3
1045,탈북민,3
1046,교통,3
1047,접촉,3
1048,스타일,3
1049,기원,3
1050,취임,3
1051,수학,3
1052,선생님,3
1053,눈치,3
1054,유감,3
1055,악용,3
1056,취재,3
1057,덕분,3
1058,실업률,3
1059,예고,3
1060,이해찬,3
1061,관함,3
1062,이미지,3
1063,살기,3
1064,개선,3
1065,불편,3
1066,핵보유국,3
1067,사찰,3
1068,핵탄두,3
1069,운전면허,3
1070,고기,3
1071,외국어,3
1072,남용,3
1073,셀카,3
1074,주문,3
1075,위원,3
1076,지도,3
1077,실질,3
1078,면죄부,3
1079,증가,3
1080,신호,3
1081,진리,3
1082,변신,3
1083,차라리,3
1084,스스로,3
1085,부총리,3
1086,대폭,3
1087,고수,3
1088,요원,3
1089,해도,3
1090,기사,3
1091,런던,3
1092,억지,3
1093,전직,3
1094,근본,3
1095,카메라,3
1096,무장,3
1097,고교,3
1098,교재,3
1099,국산,3
1100,로켓,3
1101,상처,3
1102,차기,3
1103,수석,3
1104,자랑,3
1105,김민철,3
1106,해양,3
1107,공직자,3
1108,안시성,3
1109,생명,3
1110,로또,3
1111,확보,3
1112,비타민,3
1113,사령관,3
1114,제동,3
1115,기념,3
1116,뉴욕,3
1117,강남,3
1118,즉각,3
1119,진심,3
1120,남쪽,3
1121,다큐,3
1122,리스트,3
1123,불가능,3
1124,수퍼,3
1125,도구,3
1126,과일,3
1127,수용,3
1128,마주,3
1129,창작,3
1130,봉인,3
1131,리스크,3
1132,자화상,3
1133,독립,3
1134,한국어,3
1135,무시,3
1136,행태,3
1137,원인,3
1138,충전,3
1139,여야,3
1140,언어,3
1141,노무현,3
1142,감사,3
1143,자격,3
1144,광풍,3
1145,자서전,3
1146,편의,3
1147,독도,3
1148,뇌물,3
1149,발급,3
1150,투기,3
1151,더니,3
1152,과학자,3
1153,해명,3
1154,국회의장,3
1155,제안,3
1156,호랑이,3
1157,에코,3
1158,전망,3
1159,유족,3
1160,활성화,3
1161,사이버,3
1162,인프라,3
1163,완전,3
1164,충고,3
1165,전원,3
1166,개인,3
1167,기후변화,3
1168,명예,3
1169,계획,3
1170,매케인,3
1171,첨단,3
1172,주의자,3
1173,의자,3
1174,하나로,3
1175,제기,3
1176,이스라엘,3
1177,광화문,3
1178,전환,3
1179,기조,3
1180,실수,3
1181,모임,3
1182,자영,3
1183,지도자,3
1184,무산,3
1185,교수,3
1186,법외,3
1187,오리,3
1188,유물,3
1189,목표,3
1190,양극화,3
1191,메달,3
1192,동네,3
1193,뿌리,3
1194,특활비,3
1195,일단,3
1196,존재,3
1197,라며,3
1198,진화,3
1199,수사권,3
1200,눈높이,3
1201,부상,3
1202,영장,3
1203,변화,3
1204,추가,3
1205,표기,3
1206,저녁,3
1207,바위,3
1208,양산,3
1209,발등,3
1210,어린이,3
1211,그림자,3
1212,도쿄,3
1213,네덜란드,3
1214,가야,3
1215,월성,3
1216,가게,3
1217,갑옷,3
1218,연애,3
1219,재개,3
1220,과시,3
1221,역시,3
1222,조직,3
1223,개편,3
1224,지사,3
1225,고백,3
1226,단추,3
1227,핵물질,3
1228,지향,3
1229,내부,3
1230,당부,3
1231,대입,3
1232,영업,3
1233,이과,3
1234,선생,3
1235,러시아,3
1236,경찰청장,3
1237,지구,3
1238,저출산,3
1239,설치,3
1240,사임,3
1241,각오,3
1242,비대,3
1243,정치가,3
1244,우선,3
1245,농촌,3
1246,위안부,3
1247,질문,3
1248,유일,3
1249,합법,3
1250,막무가내,3
1251,가동,3
1252,벼랑,3
1253,철강,3
1254,상태,3
1255,유가족,3
1256,푸틴,3
1257,은폐,3
1258,손님,3
1259,재건축,3
1260,계엄,3
1261,김관진,3
1262,체계,3
1263,송환,3
1264,적용,3
1265,탄핵,3
1266,토론,3
1267,흑인,3
1268,건보,3
1269,축구,3
1270,병원,3
1271,한글,3
1272,최근,3
1273,교실,3
1274,퇴장,3
1275,전투기,3
1276,진압했다,3
1277,자살,3
1278,역전,3
1279,쓰기,3
1280,이틀,3
1281,집필,3
1282,사망,3
1283,운영,3
1284,흥정,3
1285,드론,3
1286,드라마,3
1287,개미,3
1288,문자,3
1289,조정,3
1290,전기차,3
1291,이념,3
1292,코스,3
1293,총선,3
1294,이혼,3
1295,구두,3
1296,대회,3
1297,가능성,3
1298,라디오,3
1299,조율,3
1300,파문,3
1301,투표,3
1302,아내,3
1303,명단,3
1304,동반,3
1305,방울,3
1306,유전자,3
1307,올인,3
1308,장식,3
1309,하자,3
1310,보장,3
1311,채취,3
1312,차별,3
1313,보기,3
1314,대규모,3
1315,가구,3
1316,크기,3
1317,확성기,3
1318,그녀,3
1319,리비아,3
1320,폭풍,3
1321,새벽,3
1322,일로,3
1323,진상,3
1324,공감,3
1325,정시,3
1326,선발,3
1327,이해,3
1328,유권자,3
1329,광고,3
1330,검증,3
1331,갑자기,3
1332,봄날,3
1333,원금,3
1334,아이돌,3
1335,개최,3
1336,청원,3
1337,문턱,3
1338,대접,3
1339,지진,3
1340,이희호,3
1341,여사,3
1342,다툼,3
1343,나혜석,3
1344,방안,3
1345,아저씨,3
1346,참여연대,3
1347,우유,3
1348,청탁,3
1349,단계,3
1350,수학여행,3
1351,자율,3
1352,행차,3
1353,겨냥,3
1354,사다리,3
1355,폭침,3
1356,금호,3
1357,타이어,3
1358,특단,3
1359,제언,3
1360,펜스,3
1361,장악,3
1362,금메달,3
1363,이윤택,3
1364,동계올림픽,3
1365,아베,3
1366,자유민주,3
1367,금강산,3
1368,밀양,3
1369,해피,3
1370,신년사,3
1371,상대로,2
1372,농어촌,2
1373,기금,2
1374,확충,2
1375,방과,2
1376,한창,2
1377,종로,2
1378,휴대전화,2
1379,사탕,2
1380,개정안,2
1381,철회,2
1382,도부,2
1383,친박,2
1384,비박,2
1385,숙명여고,2
1386,다이어트,2
1387,전설,2
1388,체포,2
1389,활개,2
1390,마술,2
1391,하원의원,2
1392,열강,2
1393,도움,2
1394,배상,2
1395,강사,2
1396,체육,2
1397,방탄소년단,2
1398,내란,2
1399,음모,2
1400,난리,2
1401,일자,2
1402,애국,2
1403,동북아,2
1404,신발,2
1405,양말,2
1406,업계,2
1407,아야,2
1408,전자담배,2
1409,기만,2
1410,홍종학,2
1411,보라,2
1412,유신,2
1413,메르켈,2
1414,사서,2
1415,대체,2
1416,시찰,2
1417,중진,2
1418,영국인,2
1419,칭찬,2
1420,한국인,2
1421,세계대전,2
1422,사연,2
1423,그린,2
1424,인류,2
1425,문명,2
1426,변명,2
1427,청사,2
1428,천막,2
1429,시골,2
1430,힌트,2
1431,지자체,2
1432,분위기,2
1433,정체,2
1434,억대,2
1435,해체,2
1436,몰락,2
1437,치료,2
1438,천사,2
1439,그림,2
1440,부재,2
1441,자부심,2
1442,민주화,2
1443,자원,2
1444,사례,2
1445,돌파,2
1446,징용,2
1447,파고,2
1448,정치권,2
1449,등산로,2
1450,굴욕,2
1451,패널,2
1452,모욕,2
1453,운동장,2
1454,연속,2
1455,학습,2
1456,중독,2
1457,화장,2
1458,으름장,2
1459,헌법재판관,2
1460,매우,2
1461,자금,2
1462,불꽃,2
1463,통행,2
1464,포인트,2
1465,결제,2
1466,부진,2
1467,실력,2
1468,메이,2
1469,빵집,2
1470,베이비부머,2
1471,자락,2
1472,내내,2
1473,속인,2
1474,독서,2
1475,덴마크,2
1476,옥스퍼드,2
1477,꼬리,2
1478,편견,2
1479,감시,2
1480,철밥통,2
1481,미혼,2
1482,종말,2
1483,초기,2
1484,살인,2
1485,통계청,2
1486,공통점,2
1487,부잣집,2
1488,극복,2
1489,종부세,2
1490,저항,2
1491,순방,2
1492,급증,2
1493,동남아,2
1494,본인,2
1495,운행,2
1496,선거구,2
1497,획정,2
1498,영향력,2
1499,차일피일,2
1500,비정규직,2
1501,제로,2
1502,함정,2
1503,진정,2
1504,만드,2
1505,천지,2
1506,상담,2
1507,카시트,2
1508,보급,2
1509,취준생,2
1510,침해,2
1511,총대,2
1512,서울대,2
1513,버섯,2
1514,어깨,2
1515,너머,2
