,단어명,사회 빈도수
660,제출,22
661,경비원,22
662,적발,22
663,투입,22
664,처분,22
665,침대,22
666,상륙,22
667,최종,22
668,초등생,22
669,언론,22
670,거리,22
671,흡연,22
672,광고,22
673,제자,22
674,공정위,22
675,접촉,22
676,지지자,22
677,소나기,22
678,김관진,22
679,배임,21
680,도입,21
681,피소,21
682,이사,21
683,강원,21
684,학대,21
685,원인,21
686,재활용,21
687,비판,21
688,생중계,21
689,승용차,21
690,해임,21
691,토론회,21
692,환경,21
693,혁신,21
694,상대,21
695,성관계,21
696,경찰청,21
697,계획,21
698,지급,21
699,스캔들,21
700,출근길,21
701,편의점,21
702,주차,21
703,추위,21
704,벌금형,21
705,비결,21
706,경고,21
707,강용석,21
708,강서,21
709,대사,21
710,구속기소,21
711,탈세,21
712,겨울,21
713,먼저,21
714,개인,21
715,보육,21
716,보복,21
717,아시아나,21
718,사형,21
719,협회장,21
720,게임,21
721,제한,21
722,익범,21
723,협의,21
724,정전,21
725,인명,21
726,특보,21
727,물폭탄,21
728,소동,21
729,카드,21
730,원세훈,21
731,변협,21
732,해상,21
733,대선,21
734,네이버,21
735,김성태,21
736,의식,20
737,최경환,20
738,추적,20
739,수석,20
740,민간,20
741,외교부,20
742,출연,20
743,후배,20
744,평양,20
745,관계,20
746,사이트,20
747,판매,20
748,도시,20
749,일자리,20
750,무더기,20
751,안태,20
752,감사,20
753,추모,20
754,구한,20
755,인터뷰,20
756,청소년,20
757,전원,20
758,무슨,20
759,종합,20
760,강풍,20
761,진짜,20
762,법원행정처,20
763,바람,20
764,정권,20
765,예고,20
766,공천,20
767,침해,20
768,성매매,20
769,항소,20
770,금융,20
771,북상,20
772,호텔,20
773,저출산,20
774,도우미,20
775,통증,20
776,주기,19
777,파면,19
778,고시원,19
779,진행,19
780,응급실,19
781,참여,19
782,포함,19
783,노동자,19
784,순간,19
785,지연,19
786,포기,19
787,소리,19
788,직권남용,19
789,발령,19
790,패소,19
791,방문,19
792,도박,19
793,목사,19
794,몰래,19
795,보험,19
796,식당,19
797,상태,19
798,잘못,19
799,내달,19
800,필리핀,19
801,집행,19
802,주식,19
803,고민,19
804,항의,19
805,경남,19
806,이제,19
807,인도,19
808,신문,19
809,전두환,19
810,법인,19
811,기억,19
812,원정,19
813,김어준,19
814,죽음,19
815,조폭,19
816,돈스코이,19
817,동영상,19
818,여고,19
819,국무조정실,19
820,수도,19
821,민변,19
822,신동빈,19
823,스님,19
824,강진,19
825,간호사,19
826,용산,19
827,스튜디오,19
828,부영,18
829,합동,18
830,시험지,18
831,학부모,18
832,전담,18
833,정지,18
834,위헌,18
835,근로,18
836,문무,18
837,무혐의,18
838,주의보,18
839,돌파,18
840,어머니,18
841,조선,18
842,변론,18
843,행복,18
844,등장,18
845,편지,18
846,위안부,18
847,검찰총장,18
848,유포,18
849,설립,18
850,비공개,18
851,기자회견,18
852,천안함,18
853,자리,18
854,추억,18
855,해결,18
856,트럼프,18
857,국무총리비서실,18
858,통해,18
859,예상,18
860,효과,18
861,휴가,18
862,민주당,18
863,강제추행,18
864,최강,18
865,모녀,18
866,파견,17
867,국장,17
868,원금,17
869,무효,17
870,정당,17
871,목숨,17
872,문자,17
873,정규직,17
874,전환,17
875,스포츠,17
876,인근,17
877,다리,17
878,조직,17
879,정상,17
880,공연,17
881,폐쇄,17
882,배소,17
883,인기,17
884,연속,17
885,의무,17
886,권성동,17
887,집중,17
888,혼자,17
889,연극,17
890,조국,17
891,태양광,17
892,묵묵,17
893,이용,17
894,진상,17
895,생명,17
896,코리아,17
897,나들이,17
898,총리,17
899,사무,17
900,상처,17
901,연루,17
902,방치,17
903,터미널,17
904,장기,17
905,흔적,17
906,선임,17
907,의장,17
908,추천,17
909,여름,17
910,월드컵,17
911,차관,16
912,이중근,16
913,후원,16
914,소득,16
915,주사,16
916,처리,16
917,미리,16
918,욕설,16
919,돌진,16
920,연락,16
921,고교,16
922,논의,16
923,추행,16
924,교장,16
925,보이스피싱,16
926,사태,16
927,개방,16
928,귀국,16
929,노출,16
930,유소,16
931,소명,16
932,대란,16
933,육군,16
934,대가,16
935,가스,16
936,음성,16
937,판정,16
938,해소,16
939,타고,16
940,부자,16
941,무기징역,16
942,질문,16
943,법조,16
944,둘째,16
945,데이트,16
946,실명,16
947,연인,16
948,어린이,16
949,추돌,16
950,급증,16
951,호선,16
952,근무,16
953,발전,16
954,공식,16
955,진료,16
956,유명,16
957,상자,16
958,본격,16
959,선생,16
960,대체로,16
961,죄송,16
962,분석,16
963,통영,16
964,줄줄이,16
965,싸움,16
966,재개,16
967,총무,16
968,모텔,16
969,라인,16
970,취임,16
971,찜통,16
972,여관,16
973,거래소,16
974,산불,16
975,자문,15
976,중국인,15
977,폭탄,15
978,노력,15
979,전화,15
980,해고,15
981,단속,15
982,절차,15
983,교육부,15
984,반성,15
985,백화점,15
986,침묵,15
987,적극,15
988,실질,15
989,부검,15
990,평화,15
991,더니,15
992,나선,15
993,원로,15
994,원전,15
995,경보,15
996,강연,15
997,불안,15
998,체류,15
999,공부,15
1000,바다,15
1001,이자,15
1002,기상청,15
1003,홍문종,15
1004,개통,15
1005,고속,15
1006,임명,15
1007,기도,15
1008,수준,15
1009,고수,15
1010,기획재정부,15
1011,이웃,15
1012,나눔,15
1013,배달,15
1014,외부,15
1015,협조,15
1016,은행,15
1017,박해미,15
1018,신상,15
1019,코너,15
1020,부회장,15
1021,창업,15
1022,범행,15
1023,도전,15
1024,평균,15
1025,무산,15
1026,제기,15
1027,해명,15
1028,조현아,15
1029,결항,15
1030,독일,15
1031,조윤선,15
1032,항공기,15
1033,광장,15
1034,억대,15
1035,송인,15
1036,제안,15
1037,출두,15
1038,동안,15
1039,내부,15
1040,혈관,15
1041,규제,15
1042,전남,15
1043,방해,15
1044,열대야,15
1045,어선,15
1046,현송월,15
1047,이상득,15
1048,은폐,14
1049,교무,14
1050,연합,14
1051,복판,14
1052,고용부,14
1053,대리,14
1054,부담,14
1055,정황,14
1056,의뢰,14
1057,구성,14
1058,화상,14
1059,천안,14
1060,휠체어,14
1061,멤버,14
1062,절반,14
1063,스스로,14
1064,파문,14
1065,미수,14
1066,에너지,14
1067,문학,14
1068,탑승,14
1069,압박,14
1070,새마을금고,14
1071,방침,14
1072,스마트폰,14
1073,당한,14
1074,학원,14
1075,내사,14
1076,휴대폰,14
1077,주차장,14
1078,나무,14
1079,자연,14
1080,과장,14
1081,비트코인,14
1082,범인,14
1083,무대,14
1084,탁현민,14
1085,최소,14
1086,일베,14
1087,사무실,14
1088,예산,14
1089,동물,14
1090,환송,14
1091,여론,14
1092,조현오,14
1093,은퇴,14
1094,유럽,14
1095,극단,14
1096,예방,14
1097,남녀,14
1098,민주주의,14
1099,환경부,14
1100,바로,14
1101,지지,14
1102,동의,14
1103,기초,14
1104,김성수,14
1105,건설,14
1106,김포,14
1107,부친,14
1108,선처,14
1109,아래,14
1110,배상하,14
1111,연장,14
1112,허가,14
1113,경영,14
1114,상해,14
1115,염려,14
1116,영업,14
1117,영웅,14
1118,연구소,14
1119,알바,14
1120,불개미,14
1121,자전거,14
1122,실패,14
1123,출발,14
1124,침수,14
1125,수첩,14
1126,의인,14
1127,불편,14
1128,로펌,14
1129,교체,14
1130,조계종,14
1131,두번째,14
1132,질주,14
1133,옥중,14
1134,실수,14
1135,얘기,14
1136,상도,14
1137,돼지,14
1138,통일,14
1139,생일,14
1140,이영학,14
1141,누가,14
1142,블랙박스,14
1143,장마,14
1144,직장인,14
1145,섹션,14
1146,축소,14
1147,김기덕,14
1148,국세청,14
1149,도망,14
1150,지방선거,14
1151,피부,14
1152,권고,13
1153,알몸,13
1154,밀수,13
1155,통화,13
1156,점거,13
1157,위치,13
1158,팩트,13
1159,배당,13
1160,성적,13
1161,불륜,13
1162,현대,13
1163,구름,13
1164,가해,13
1165,감정,13
1166,현금,13
1167,불길,13
1168,한양대,13
1169,가을비,13
1170,여중생,13
1171,투약,13
1172,자기,13
1173,보호,13
1174,오은영,13
1175,토닥토닥,13
1176,기밀,13
1177,요즘,13
1178,고문,13
1179,대사관,13
1180,황민,13
1181,초등학교,13
1182,유튜버,13
1183,매일,13
1184,명단,13
1185,노래,13
1186,고법,13
1187,윤석열,13
1188,성장,13
1189,홍보,13
1190,헬기,13
1191,참석,13
1192,심의,13
1193,임금,13
1194,공정,13
1195,감옥,13
1196,위협,13
1197,퇴진,13
1198,일선,13
1199,민원,13
1200,계약,13
1201,절정,13
1202,국정원장,13
1203,일가,13
1204,세번,13
1205,중상,13
1206,항공사,13
1207,대장,13
1208,남매,13
1209,수거,13
1210,해군,13
1211,미성년,13
1212,하차,13
1213,규명,13
1214,그림,13
1215,출동,13
1216,불복,13
1217,수원,13
1218,전설,13
1219,조재현,13
1220,에어컨,13
1221,직무,13
1222,커피,13
1223,삭제,13
1224,퇴직,13
1225,소장,13
1226,유지,13
1227,앞바다,13
1228,한번,13
1229,대납,13
1230,도움,13
1231,인구,13
1232,감염,13
1233,유서,13
1234,나이,13
1235,무단,13
1236,출국금지,13
1237,심석희,13
1238,비닐,13
1239,출범,13
1240,구급차,13
1241,사임,13
1242,명지전문대,13
1243,근육,13
1244,발효,13
1245,누드모델,13
1246,기획,13
1247,불볕,13
1248,집사,13
1249,개선,13
1250,정현,13
1251,김영철,13
1252,스승,12
1253,허용,12
1254,제대로,12
1255,감식,12
1256,보상,12
1257,당국,12
1258,정도,12
1259,차로,12
1260,영아,12
1261,노총,12
1262,화학,12
1263,주택,12
1264,강력,12
1265,비소,12
1266,복지부,12
1267,침입,12
1268,박사,12
1269,중요,12
1270,임원,12
1271,대기업,12
1272,형량,12
1273,심신,12
1274,자동차,12
1275,신연희,12
1276,단계,12
1277,법원장,12
1278,증언,12
1279,대화,12
1280,수색,12
1281,프랑스,12
1282,부족,12
1283,막말,12
1284,연세대,12
1285,격리,12
1286,김씨,12
1287,드라마,12
1288,제작,12
1289,봉사,12
1290,사유,12
1291,조현병,12
1292,우선,12
1293,나흘,12
1294,일회용,12
1295,법률,12
1296,친환경,12
1297,공판,12
1298,고장,12
1299,수송,12
1300,전략,12
1301,빨대,12
1302,취재,12
1303,여자친구,12
1304,성공,12
1305,거짓,12
1306,악플,12
1307,파일,12
1308,인간,12
1309,매우,12
1310,미미,12
1311,급여,12
1312,운영자,12
1313,김창호,12
1314,덜미,12
1315,프로포폴,12
1316,고위,12
1317,물질,12
1318,국립,12
1319,마무리,12
1320,비난,12
1321,아이돌,12
1322,구미,12
1323,관통,12
1324,희망,12
1325,구청,12
1326,여의도,12
1327,출근,12
1328,승무원,12
1329,당일,12
1330,퓨마,12
1331,선원,12
1332,재범,12
1333,코치,12
1334,원자력,12
1335,휴일,12
1336,월급,12
1337,코드,12
1338,설정,12
1339,편파,12
1340,추문,12
1341,응원,12
1342,자수,12
1343,전무,12
1344,이건희,12
1345,컬링,12
1346,넥센,12
1347,조상우,12
1348,목동,12
1349,평창올림픽,12
1350,손흥민,11
1351,혜택,11
1352,동덕여대,11
1353,보통,11
1354,피자,11
1355,수능,11
1356,체크,11
1357,강사,11
1358,첫날,11
1359,대마초,11
1360,경쟁,11
1361,국방부,11
1362,점검,11
1363,결식,11
1364,납치,11
1365,음악,11
1366,정면,11
1367,열흘,11
1368,클럽,11
1369,초미세먼지,11
1370,호우,11
1371,탄생,11
1372,진보,11
1373,대표팀,11
1374,어르신,11
1375,유가족,11
1376,권리,11
1377,공짜,11
1378,도서관,11
1379,행위,11
1380,노예,11
1381,감찰,11
1382,전력,11
1383,무시,11
1384,시골,11
1385,신분,11
1386,라면,11
1387,유기,11
1388,수감,11
1389,미약,11
1390,가치,11
1391,소방차,11
1392,부정,11
1393,고교생,11
1394,낸시랭,11
1395,소년,11
1396,박상기,11
1397,물결,11
1398,속출,11
1399,노동,11
1400,사이판,11
1401,부실,11
1402,손해,11
1403,박정희,11
1404,안보,11
1405,증권,11
1406,언론인,11
1407,봉투,11
1408,복직,11
1409,배제,11
1410,골프,11
1411,변호,11
1412,관심,11
1413,거짓말,11
1414,경기도,11
1415,유력,11
1416,난리,11
1417,장학금,11
1418,설악산,11
1419,김해,11
1420,훼손,11
1421,뉴욕,11
1422,사면,11
1423,통제,11
1424,시스템,11
1425,검증,11
1426,돌연,11
1427,사업가,11
1428,그대로,11
1429,이례,11
1430,목소리,11
1431,헌법재판관,11
1432,창립,11
1433,변희재,11
1434,창고,11
1435,미스터리,11
1436,조롱,11
1437,포장,11
1438,호소,11
1439,케어,11
1440,네티즌,11
1441,통상,11
1442,민간인,11
1443,허리,11
1444,사의,11
1445,방향,11
1446,입국,11
1447,페트병,11
1448,용인,11
1449,전교조,11
1450,질환,11
1451,대마,11
1452,해양,11
1453,담배,11
1454,선언,11
1455,공익,11
1456,직전,11
1457,대표이사,11
1458,종결,11
1459,추징,11
1460,출장,11
1461,중부,11
1462,의원직,11
1463,유감,11
1464,여사,11
1465,안종범,11
1466,가면,11
1467,해병대,11
1468,남강,11
1469,호의,11
1470,대검,11
1471,내내,11
1472,전자발찌,11
1473,충격,11
1474,이학수,11
1475,총수,11
1476,황사,11
1477,김기식,11
1478,김생민,11
1479,필로폰,10
1480,합격,10
1481,역할,10
1482,도피,10
1483,투표,10
1484,모욕,10
1485,지도,10
1486,외출,10
1487,노후,10
1488,가방,10
1489,시내,10
1490,전체,10
1491,심야,10
1492,일단,10
1493,식약처,10
1494,영태,10
1495,생존자,10
1496,소설가,10
1497,출국,10
1498,입증,10
1499,식품,10
1500,절대,10
1501,지자체,10
1502,동거,10
1503,세력,10
1504,수용,10
1505,결심,10
1506,바퀴,10
1507,동원,10
1508,가입,10
1509,손님,10
1510,가게,10
1511,강릉,10
1512,지대,10
1513,농성,10
1514,압수,10
1515,하자,10
1516,스트레스,10
1517,토막살인,10
1518,변경,10
1519,진단,10
1520,여학생,10
1521,상황,10
1522,일제,10
1523,다음주,10
1524,자격,10
1525,공격,10
1526,해당,10
1527,데뷔,10
1528,디스크,10
1529,문화재단,10
1530,표현,10
1531,감금,10
1532,속도,10
1533,방탄소년단,10
1534,면제,10
1535,호날두,10
1536,사관,10
1537,시티,10
1538,모집,10
1539,인증,10
1540,배출,10
1541,우린,10
1542,서류,10
1543,관광객,10
1544,도착,10
1545,이동,10
1546,정신,10
1547,애인,10
1548,단식,10
1549,입양,10
1550,한화,10
1551,어깨,10
1552,평생,10
1553,연맹,10
1554,복귀,10
1555,내륙,10
1556,동상,10
1557,정말,10
1558,동반,10
1559,진출,10
1560,음란,10
1561,경주,10
1562,독립,10
1563,지인,10
1564,고의,10
1565,보험금,10
1566,심포지엄,10
1567,해체,10
1568,업계,10
1569,실업,10
1570,동네,10
1571,셀프,10
1572,자매,10
1573,성빈,10
1574,전교,10
1575,대원,10
1576,개인정보,10
1577,이하,10
1578,당분간,10
1579,요원,10
1580,탱크,10
1581,기름,10
1582,식중독,10
1583,분리,10
1584,주도,10
1585,수업,10
1586,유주,10
1587,조성,10
1588,단지,10
1589,모레,10
1590,신뢰,10
1591,할인,10
1592,무면허,10
1593,상임,10
1594,사드,10
1595,수퍼,10
1596,이송,10
1597,보장,10
1598,당신,10
