,단어명,경제 빈도수
695,스포츠,57
696,지금,57
697,파리,57
698,연휴,57
699,제외,57
700,자본,57
701,이자,56
702,공모,56
703,오피스텔,56
704,보상,56
705,서울대,56
706,넥슨,56
707,친환경,56
708,라인,56
709,케이,56
710,제재,56
711,가정,55
712,어디,55
713,폐쇄,55
714,타워,55
715,둔화,55
716,매입,55
717,요금,55
718,모든,55
719,등장,55
720,바람,55
721,국산,55
722,동남아,55
723,활성화,55
724,발언,55
725,원화,55
726,공공기관,55
727,원인,55
728,의약품,55
729,설명,55
730,여름,55
731,육박,54
732,심리,54
733,신흥,54
734,축소,54
735,본사,54
736,코드,54
737,동결,54
738,리콜,54
739,상용,54
740,연구원,54
741,공헌,54
742,보장,54
743,거리,54
744,의혹,54
745,더블,53
746,인재,53
747,아마존,53
748,우선,53
749,대회,53
750,중앙회,53
751,매매,53
752,차기,53
753,물질,53
754,포인트,53
755,관심,53
756,물류,53
757,홀딩스,53
758,적극,53
759,여파,53
760,정비,53
761,요청,53
762,충전,53
763,위원,53
764,처리,53
765,재개발,53
766,기존,52
767,상담,52
768,선박,52
769,신제품,52
770,도전,52
771,감독,52
772,패션,52
773,공간,52
774,위반,52
775,인터뷰,52
776,정상화,52
777,부과,52
778,등록,51
779,르노,51
780,비즈니스,51
781,수도,51
782,캘린더,51
783,이사장,51
784,신차,51
785,엘리엇,51
786,과제,51
787,시범,51
788,보험사,51
789,법정관리,51
790,신년사,51
791,자영,50
792,적발,50
793,증권사,50
794,보합,50
795,선택,50
796,후원,50
797,공단,50
798,예산,50
799,북한,50
800,카메라,50
801,과세,50
802,굿모닝,50
803,구조,49
804,초과,49
805,회수,49
806,상무,49
807,접수,49
808,공매도,49
809,박람회,49
810,콘퍼런스,49
811,사기,49
812,백신,49
813,해소,49
814,유출,49
815,비율,49
816,개국,49
817,통신사,49
818,약사,49
819,혐의,49
820,버스,49
821,배달,49
822,변화,49
823,탑재,49
824,상가,49
825,노선,49
826,모친상,49
827,개정,49
828,인텔,49
829,영상,48
