,사설단어
458,"('산업혁명', 9)"
459,"('기적', 9)"
460,"('하라', 9)"
461,"('확대', 9)"
462,"('원칙', 9)"
463,"('용', 9)"
464,"('개발', 9)"
465,"('먼지', 9)"
466,"('인생', 9)"
467,"('현실', 9)"
468,"('최', 9)"
469,"('조치', 9)"
470,"('다음', 9)"
471,"('정신', 9)"
472,"('야당', 9)"
473,"('수도', 9)"
474,"('여성', 9)"
475,"('언급', 9)"
476,"('산', 9)"
477,"('학생', 9)"
478,"('나무', 9)"
479,"('정치인', 9)"
480,"('식당', 9)"
481,"('석탄', 9)"
482,"('폐쇄', 9)"
483,"('자', 9)"
484,"('음악', 9)"
485,"('선수', 9)"
486,"('지방선거', 9)"
487,"('정끝별', 9)"
488,"('유치원', 8)"
489,"('향연', 8)"
490,"('미사일', 8)"
491,"('건물', 8)"
492,"('무엇', 8)"
493,"('박물관', 8)"
494,"('포퓰리즘', 8)"
495,"('사태', 8)"
496,"('택시', 8)"
497,"('피해', 8)"
498,"('금융', 8)"
499,"('일기', 8)"
500,"('주년', 8)"
501,"('선물', 8)"
502,"('이철민', 8)"
503,"('관심', 8)"
504,"('기', 8)"
505,"('보복', 8)"
506,"('조건', 8)"
507,"('발표', 8)"
508,"('바다', 8)"
509,"('완', 8)"
510,"('카페', 8)"
511,"('최대', 8)"
512,"('비준', 8)"
513,"('부터', 8)"
514,"('곳', 8)"
515,"('공사', 8)"
516,"('수준', 8)"
517,"('맛', 8)"
518,"('위험', 8)"
519,"('요청', 8)"
520,"('월급', 8)"
521,"('외면', 8)"
522,"('서울시', 8)"
523,"('무슨', 8)"
524,"('온', 8)"
525,"('방치', 8)"
526,"('백제', 8)"
527,"('테크', 8)"
528,"('계리', 8)"
529,"('방북', 8)"
530,"('신고', 8)"
531,"('죽음', 8)"
532,"('얼굴', 8)"
533,"('공격', 8)"
534,"('판문점', 8)"
535,"('자리', 8)"
536,"('제도', 8)"
537,"('체제', 8)"
538,"('시한', 8)"
539,"('이산가족', 8)"
540,"('백악관', 8)"
541,"('해외', 8)"
542,"('예방', 8)"
543,"('남', 8)"
544,"('편', 8)"
545,"('폭염', 8)"
546,"('해결', 8)"
547,"('민주당', 8)"
548,"('가상', 8)"
549,"('인도', 8)"
550,"('의혹', 8)"
551,"('원자력', 8)"
552,"('문건', 8)"
553,"('월드컵', 8)"
554,"('평화협정', 8)"
555,"('지시', 8)"
556,"('보고', 8)"
557,"('블랙리스트', 8)"
558,"('신라', 8)"
559,"('아침', 8)"
560,"('김기식', 8)"
561,"('개헌안', 8)"
562,"('현송월', 8)"
563,"('칼', 7)"
564,"('생로병사', 7)"
565,"('실장', 7)"
566,"('태극기', 7)"
567,"('선택', 7)"
568,"('인문', 7)"
569,"('계기', 7)"
570,"('건설', 7)"
571,"('상황', 7)"
572,"('진실', 7)"
573,"('협력', 7)"
574,"('세월호', 7)"
575,"('국정', 7)"
576,"('음주', 7)"
577,"('고위', 7)"
578,"('회장', 7)"
579,"('정보', 7)"
580,"('핵심', 7)"
581,"('여행', 7)"
582,"('사이언스', 7)"
583,"('채용', 7)"
584,"('누구', 7)"
585,"('영어', 7)"
586,"('숲', 7)"
587,"('마련', 7)"
588,"('통일부', 7)"
589,"('친', 7)"
590,"('회', 7)"
591,"('운명', 7)"
592,"('도박', 7)"
593,"('꿈', 7)"
594,"('포장', 7)"
595,"('인공', 7)"
596,"('기회', 7)"
597,"('청소년', 7)"
598,"('가면', 7)"
599,"('기관', 7)"
600,"('프랑스', 7)"
601,"('대선', 7)"
602,"('면', 7)"
603,"('병법', 7)"
604,"('중동', 7)"
605,"('얼마나', 7)"
606,"('가족', 7)"
607,"('동의', 7)"
608,"('정의', 7)"
609,"('간', 7)"
610,"('트렌드', 7)"
611,"('반대', 7)"
612,"('대강', 7)"
613,"('차이', 7)"
614,"('핵실험', 7)"
615,"('우린', 7)"
616,"('할머니', 7)"
617,"('문학', 7)"
618,"('외국인', 7)"
