,정치단어
396,"('법안', 38)"
397,"('속', 38)"
398,"('청산', 38)"
399,"('권력', 38)"
400,"('백악관', 38)"
401,"('검증', 37)"
402,"('조국', 37)"
403,"('나라', 37)"
404,"('동의', 37)"
405,"('이행', 37)"
406,"('공세', 37)"
407,"('땐', 37)"
408,"('국정', 37)"
409,"('연설', 37)"
410,"('위안부', 37)"
411,"('핵심', 37)"
412,"('오전', 37)"
413,"('서해', 37)"
414,"('이산가족', 37)"
415,"('지역', 37)"
416,"('통과', 37)"
417,"('정보', 36)"
418,"('광주', 36)"
419,"('실패', 36)"
420,"('내달', 36)"
421,"('무산', 36)"
422,"('수도', 36)"
423,"('강화', 36)"
424,"('방한', 36)"
425,"('노무현', 36)"
426,"('간', 36)"
427,"('질문', 36)"
428,"('출발', 36)"
429,"('약속', 36)"
430,"('비난', 35)"
431,"('설', 35)"
432,"('물', 35)"
433,"('지시', 35)"
434,"('예정', 35)"
435,"('남북관계', 35)"
436,"('대선', 35)"
437,"('원내대표', 35)"
438,"('박지원', 35)"
439,"('최', 35)"
440,"('실', 35)"
441,"('곧', 35)"
442,"('청원', 35)"
443,"('원전', 34)"
444,"('앞', 34)"
445,"('위원', 34)"
446,"('교체', 34)"
447,"('전달', 34)"
448,"('위기', 34)"
449,"('여사', 34)"
450,"('박', 34)"
451,"('방안', 34)"
452,"('다음', 34)"
453,"('시대', 34)"
454,"('소통', 34)"
455,"('발전', 34)"
456,"('공사', 34)"
457,"('초청', 34)"
458,"('수용', 34)"
459,"('경기', 34)"
460,"('안전', 34)"
461,"('참가', 34)"
462,"('유은혜', 34)"
463,"('통신', 34)"
464,"('당선', 34)"
465,"('노회찬', 34)"
466,"('가상', 34)"
467,"('화폐', 34)"
468,"('헌법', 33)"
469,"('하락', 33)"
470,"('활동', 33)"
471,"('쇼', 33)"
472,"('유감', 33)"
473,"('적', 33)"
474,"('자', 33)"
475,"('사용', 33)"
476,"('진행', 33)"
477,"('올해', 33)"
478,"('사드', 33)"
479,"('작년', 33)"
480,"('장소', 33)"
481,"('해', 33)"
482,"('공무원', 33)"
483,"('취재', 33)"
484,"('줄', 33)"
485,"('메시지', 33)"
486,"('대상', 33)"
487,"('국회의원', 33)"
488,"('협', 32)"
489,"('펜스', 32)"
490,"('끝', 32)"
491,"('갈등', 32)"
492,"('총선', 32)"
493,"('최대', 32)"
494,"('위협', 32)"
495,"('신고', 32)"
496,"('일본', 32)"
497,"('절', 32)"
498,"('카', 32)"
499,"('시민', 32)"
500,"('탈당', 32)"
501,"('비용', 32)"
502,"('인', 32)"
503,"('사진', 32)"
