,단어명,빈도수
1035,벼랑,36
1036,자국,36
1037,막,36
1038,서울시,36
1039,전반,36
1040,주재,36
1041,마음,36
1042,조선,36
1043,주석,36
1044,제품,36
1045,경계,36
1046,통,36
1047,영장,36
1048,민족,36
1049,집,36
1050,드론,36
1051,수단,36
1052,번영,36
1053,평화협정,36
1054,연장,36
1055,심의,35
1056,제주,35
1057,민생,35
1058,실행,35
1059,대규모,35
1060,무관,35
1061,영국,35
1062,구속,35
1063,강경,35
1064,교류,35
1065,인터뷰,35
1066,포퓰리즘,35
1067,취하,35
1068,방위,35
1069,이견,35
1070,고민,35
1071,결코,35
1072,시진핑,35
1073,조속,35
1074,전자,35
1075,게시판,35
1076,턱,35
1077,낼,35
1078,법관,35
1079,예술,35
1080,파문,35
1081,질문,35
1082,보상,35
1083,관광,35
1084,세대,35
1085,교수,35
1086,협치,34
1087,석,34
1088,납득,34
1089,란,34
1090,아야,34
1091,중재,34
1092,감시,34
1093,무력,34
1094,태양광,34
1095,로서,34
1096,감독,34
1097,여러,34
1098,폭탄,34
1099,김영철,34
1100,시민,34
1101,건강,34
1102,조기,34
1103,화해,34
1104,대가,34
1105,업계,34
1106,공모,34
1107,여기,34
1108,폐해,34
1109,진,34
1110,수요,34
1111,해석,33
1112,쪽,33
1113,채택,33
1114,다짐,33
1115,실업자,33
1116,처지,33
1117,소상,33
1118,교통,33
1119,사장,33
1120,제거,33
1121,의무,33
1122,병력,33
1123,고교,33
1124,테이블,33
1125,자문,33
1126,대부분,33
1127,비상,33
1128,박근혜,33
1129,반성,33
1130,싸움,33
1131,공정,33
1132,관행,33
1133,노무현정부,33
1134,용,33
1135,연구,33
1136,나위,33
1137,박근혜정부,33
1138,기획,33
1139,외국인,33
1140,농단,33
1141,위로,33
1142,토대,33
1143,정황,33
1144,시사,33
1145,모임,33
1146,홍보,33
1147,방남,33
1148,만이,32
1149,반,32
1150,각,32
1151,반응,32
1152,축,32
1153,초래,32
1154,내일,32
1155,상대,32
1156,린다,32
1157,누가,32
1158,기능,32
1159,등록,32
1160,유권자,32
1161,연설,32
1162,갈수록,32
1163,현행,32
1164,여간,32
1165,바로,32
1166,가시,32
1167,발상,32
1168,지급,32
1169,대사,32
1170,해제,32
1171,일단,32
1172,통한,32
1173,명시,32
1174,재단,32
1175,술,32
1176,주문,32
1177,연간,32
1178,아이,32
1179,소지,32
1180,송환,32
1181,깊이,32
1182,전혀,32
1183,아베,32
1184,폐지,32
1185,유해,32
1186,무산,31
1187,본부,31
1188,혼선,31
1189,협정,31
1190,수정,31
1191,자산,31
1192,차관,31
1193,로부터,31
1194,그대로,31
1195,여건,31
1196,전날,31
1197,심화,31
1198,방치,31
1199,움직임,31
1200,담판,31
1201,상반기,31
1202,침해,31
1203,방한,31
1204,사찰,31
1205,별,31
1206,또한,31
1207,질,31
1208,대목,31
1209,통화,31
1210,여,31
1211,연루,31
1212,현직,31
1213,신청,31
1214,발사,31
1215,초청,31
1216,자치,30
1217,정치인,30
1218,절대,30
1219,청문회,30
1220,공급,30
1221,차이,30
1222,실체,30
1223,목숨,30
1224,상대로,30
1225,고통,30
1226,기자,30
1227,면담,30
1228,계리,30
1229,활성화,30
1230,비준,30
1231,서도,30
1232,당초,30
1233,간부,30
1234,선임,30
1235,적지,30
1236,만하,30
1237,사진,30
1238,국장,30
1239,실정,30
1240,유럽,30
1241,긴급,30
1242,이름,30
1243,교육감,30
1244,보,30
1245,경남,30
1246,강도,30
1247,출장,30
1248,위안부,30
1249,조짐,29
1250,호,29
1251,직,29
1252,폭력,29
1253,기지,29
1254,모양새,29
1255,기념,29
1256,희망,29
1257,후유증,29
1258,자녀,29
1259,시민단체,29
1260,무슨,29
1261,저,29
1262,희생,29
1263,더구나,29
1264,한국은행,29
1265,입법,29
1266,불만,29
1267,소송,29
1268,보이,29
1269,업종,29
1270,개정안,29
1271,원금,29
1272,협회,29
1273,통보,29
1274,협조,29
1275,이산가족,29
1276,장애인,29
1277,거의,28
1278,위축,28
1279,칼,28
1280,과속,28
1281,독일,28
1282,설비,28
1283,기소,28
1284,남한,28
1285,망,28
1286,승인,28
1287,설,28
1288,호황,28
1289,대란,28
1290,한마디,28
1291,명분,28
1292,만난,28
1293,장소,28
1294,국가주석,28
1295,신호,28
1296,흐름,28
1297,과연,28
1298,뒷받침,28
1299,징역,28
1300,중지,28
1301,절반,28
1302,청구,28
1303,급증,28
1304,배치,28
1305,신규,28
1306,운명,28
1307,남용,28
1308,표,28
1309,동계올림픽,28
1310,가짜,28
1311,무시,28
1312,공기업,28
1313,수당,28
1314,진술,28
1315,수장,28
1316,연,28
1317,태세,28
1318,투기,28
1319,이사회,28
1320,추경,28
1321,절실,28
1322,상봉,28
1323,특보,28
1324,식이,27
1325,주식,27
1326,합,27
1327,땜질,27
1328,특위,27
1329,분담,27
1330,일반,27
1331,매체,27
1332,프랑스,27
1333,유출,27
1334,학생,27
1335,인도,27
1336,래야,27
1337,사무소,27
1338,형사,27
1339,의결,27
1340,통합,27
1341,거,27
1342,해체,27
1343,이기,27
1344,지위,27
1345,비교,27
1346,수도권,27
1347,보완,27
1348,자본,27
1349,근거,27
1350,되레,27
1351,혜택,27
1352,노동계,27
1353,폭로,27
1354,비서실,27
1355,장치,27
1356,불어,27
1357,보지,27
1358,논리,27
1359,노인,27
1360,투표,27
1361,타결,27
1362,국가안보실,27
1363,미가,27
1364,소비자,27
1365,항의,26
1366,강행,26
1367,조국,26
1368,근간,26
1369,연구소,26
1370,역량,26
1371,견제,26
1372,구심,26
1373,센터,26
1374,정당,26
1375,쇄신,26
1376,여론조사,26
1377,보이지,26
1378,생존,26
1379,관측,26
1380,추정,26
1381,맥락,26
1382,해상,26
1383,답변,26
1384,기초,26
1385,심리,26
1386,동행,26
1387,허용,26
1388,군산,26
1389,책임자,26
1390,이하,26
1391,안전보장,26
1392,체결,26
1393,청탁,26
1394,비행,26
1395,간담,26
1396,상징,26
1397,고용노동부,26
1398,택시,26
1399,안보리,26
1400,판국,26
1401,단호,26
1402,다행,26
1403,표명,26
1404,항구,26
1405,제왕,26
1406,정의용,26
1407,균형,26
1408,변국,26
1409,언론사,26
1410,정의,25
1411,인사청문회,25
1412,헌법재판관,25
1413,도덕성,25
1414,아예,25
1415,가까이,25
1416,공산,25
1417,수습,25
1418,끼리,25
1419,집회,25
1420,조항,25
1421,총장,25
1422,마무리,25
1423,전례,25
1424,금강산,25
1425,활용,25
1426,책무,25
1427,전제,25
1428,대폭,25
1429,장하,25
1430,급,25
1431,수익률,25
1432,직무,25
1433,경기도,25
1434,모델,25
1435,주력,25
1436,회복,25
1437,구조조정,25
1438,상임,25
1439,통신,25
1440,기여,25
1441,재산,25
1442,사령부,25
1443,수행,25
1444,송영,25
1445,단지,25
1446,성사,25
1447,합동,25
1448,휘,25
1449,법치,25
