,단어명,빈도수
618,전문가,6
619,법원,6
620,국,6
621,차이,6
622,위해,6
623,의료,6
624,금지,6
625,수용,6
626,시한,6
627,직스,6
628,디자인,6
629,런칭,6
630,검사,6
631,직장인,6
632,급,6
633,육성,6
634,육박,6
635,주가,6
636,근로자,6
637,교체,6
638,뱅크,6
639,주파수,6
640,확보,6
641,암웨이,6
642,테크,6
643,업,6
644,초청,6
645,급등,6
646,달라,6
647,자녀,6
648,가맹,6
649,변동,6
650,정상회담,6
651,집중,6
652,연금,6
653,핵심,6
654,법인,6
655,과제,6
656,협,6
657,코레일,6
658,발생,6
659,병원,6
660,위원장,6
661,체계,6
662,론칭,6
663,직장,6
664,면세점,6
665,계획,6
666,생명,6
667,때문,6
668,신제품,6
669,출범,6
670,징계,6
671,지난해,6
672,급여,6
673,공공기관,6
674,내외,6
675,매도,6
676,타,6
677,비정규직,6
678,도시,6
679,혜택,6
680,강남,6
681,출자,6
682,구제역,6
683,막판,6
684,선도,6
685,제약기업,6
686,블록,5
687,눈,5
688,지속,5
689,분쟁,5
690,설명,5
691,발견,5
692,보험사,5
693,결론,5
694,무제,5
695,면제,5
696,프로,5
697,유가,5
698,대신,5
699,화장품,5
700,대리점,5
701,처리,5
702,운행,5
703,대우건설,5
704,울산,5
705,음식,5
706,콘텐츠,5
707,뉴,5
708,허가,5
709,재판,5
710,개국,5
711,처벌,5
712,아동,5
713,수수료,5
714,업종,5
715,우수,5
716,페이,5
717,총력,5
718,침대,5
719,세금,5
720,해결,5
721,송영,5
722,홍보,5
723,밸,5
724,사용,5
725,비율,5
726,행진,5
727,유예,5
728,우선,5
729,추정,5
730,울,5
731,사람,5
732,빗썸,5
733,종부세,5
734,심화,5
735,시동,5
736,패션,5
737,면세,5
738,의,5
739,국세청,5
740,세무조사,5
741,탈,5
742,담보,5
743,그림,5
744,김정태,5
745,상생,5
746,제재,5
747,심의,5
748,린다,5
749,공정,5
750,방탄소년단,5
751,독서실,5
752,나눔,5
753,역량,5
754,미흡,5
755,대리,5
756,사용자,5
757,신뢰,5
758,회계,5
759,며,5
760,라인,5
761,방지,5
762,장기,5
763,역할,5
764,호기,5
765,요청,5
766,불황,5
767,호텔,5
768,역사,5
769,통해,5
770,관행,5
771,상용,5
772,프로그램,5
773,덜,5
774,예상,5
775,도약,5
776,목표,5
777,달성,5
778,협상,5
779,남북관계,5
780,비트코인,5
781,조금,5
782,소개,5
783,제휴,5
784,취임,5
785,프랜차이즈,5
786,대규모,5
787,불안,5
788,투자자,5
789,반대,5
790,수주,5
791,기회,5
792,코스닥,5
793,이명희,5
794,연루,5
795,인증,5
796,타워,5
797,관광,5
798,매입,5
799,보유,5
800,단순,5
801,공유,5
802,가속,5
803,면담,5
804,친환경,5
805,홈,5
806,이란,5
807,정규직,5
808,전문,5
809,주요,5
810,주주,5
811,너,5
812,보복,5
813,경고,5
814,의견,5
815,조절,5
816,부사,5
817,유해,5
818,농산물,5
819,휘발유,5
820,말,5
821,스토어,5
822,컵,5
823,청약,5
824,먹통,5
825,양극화,5
826,기능,5
827,조선업,5
828,점수,5
829,시행,5
830,유,5
831,단체,5
832,젠,5
833,인공,5
834,지능,5
835,허위,5
836,서울대,5
837,아웃,5
838,원가,5
839,소비자,5
840,가족,5
841,적자,5
842,프로모션,5
843,문,5
844,다음,5
