,사회단어
603,"('연구', 30)"
604,"('전문', 29)"
605,"('연금', 29)"
606,"('특혜', 29)"
607,"('과거', 29)"
608,"('위원회', 29)"
609,"('필요', 29)"
610,"('남북', 29)"
611,"('합의', 29)"
612,"('시인', 29)"
613,"('설치', 29)"
614,"('다른', 29)"
615,"('구', 29)"
616,"('상습', 29)"
617,"('부모', 29)"
618,"('개발', 29)"
619,"('컵', 29)"
620,"('핵심', 29)"
621,"('노회찬', 29)"
622,"('걱정', 29)"
623,"('컷', 29)"
624,"('솔릭', 29)"
625,"('역사', 28)"
626,"('시험', 28)"
627,"('서비스', 28)"
628,"('도로', 28)"
629,"('생', 28)"
630,"('가짜', 28)"
631,"('예술', 28)"
632,"('동료', 28)"
633,"('구하라', 28)"
634,"('운행', 28)"
635,"('마리', 28)"
636,"('진술', 28)"
637,"('서도', 28)"
638,"('가을', 28)"
639,"('교차', 28)"
640,"('누', 28)"
641,"('성범죄', 28)"
642,"('행사', 28)"
643,"('전쟁', 28)"
644,"('기준', 28)"
645,"('공모', 28)"
646,"('결과', 28)"
647,"('변호인', 28)"
648,"('아버지', 28)"
649,"('가수', 28)"
650,"('올림픽', 28)"
651,"('인상', 27)"
652,"('피', 27)"
653,"('카페', 27)"
654,"('회원', 27)"
655,"('감형', 27)"
656,"('나라', 27)"
657,"('인터넷', 27)"
658,"('운전자', 27)"
659,"('인생', 27)"
660,"('통보', 27)"
661,"('어디', 27)"
662,"('과학기술', 27)"
663,"('선물', 27)"
664,"('가능', 27)"
665,"('세대', 27)"
666,"('확보', 27)"
667,"('비상', 27)"
668,"('명예훼손', 27)"
669,"('분노', 27)"
670,"('투자', 27)"
671,"('승객', 27)"
672,"('칼', 27)"
673,"('촬영', 27)"
674,"('문재인', 27)"
675,"('확산', 27)"
676,"('여배우', 27)"
677,"('이틀', 27)"
678,"('처음', 27)"
679,"('부당', 27)"
680,"('김흥국', 27)"
681,"('참사', 26)"
682,"('선정', 26)"
683,"('마스크', 26)"
684,"('투신', 26)"
685,"('친', 26)"
686,"('수사권', 26)"
687,"('특수', 26)"
688,"('대부분', 26)"
689,"('제주도', 26)"
690,"('술', 26)"
691,"('연', 26)"
692,"('대책', 26)"
693,"('공범', 26)"
694,"('다음', 26)"
695,"('주인', 26)"
696,"('업무', 26)"
697,"('아동', 26)"
698,"('하정훈', 26)"
699,"('삐', 26)"
700,"('뽀삐', 26)"
701,"('뽀', 26)"
702,"('라돈', 26)"
703,"('일당', 26)"
704,"('장애', 26)"
705,"('법적', 26)"
706,"('벽', 26)"
707,"('해외', 26)"
708,"('김기춘', 26)"
