,경제단어
732,"('미니', 65)"
733,"('매수', 65)"
734,"('주류', 65)"
735,"('엔진', 64)"
736,"('소상', 64)"
737,"('코오롱', 64)"
738,"('보유', 64)"
739,"('결과', 64)"
740,"('조치', 64)"
741,"('해양', 64)"
742,"('신용', 64)"
743,"('휘발유', 64)"
744,"('대우조선', 64)"
745,"('암', 64)"
746,"('세금', 64)"
747,"('검찰', 64)"
748,"('고발', 64)"
749,"('역', 64)"
750,"('사람', 63)"
751,"('판', 63)"
752,"('인도네시아', 63)"
753,"('걱정', 63)"
754,"('이틀', 63)"
755,"('헌', 63)"
756,"('책임', 63)"
757,"('설비', 63)"
758,"('퇴직', 63)"
759,"('활동', 63)"
760,"('방', 62)"
761,"('이벤트', 62)"
762,"('업종', 62)"
763,"('신고', 62)"
764,"('연내', 62)"
765,"('주의', 62)"
766,"('성과', 62)"
767,"('취득', 62)"
768,"('획득', 62)"
769,"('사실', 62)"
770,"('부친상', 62)"
771,"('맞춤', 62)"
772,"('관', 62)"
773,"('척', 62)"
774,"('독일', 62)"
775,"('약품', 62)"
776,"('재정', 62)"
777,"('다음', 61)"
778,"('본부장', 61)"
779,"('임대', 61)"
780,"('계속', 61)"
781,"('승', 61)"
782,"('카페', 61)"
783,"('브로드밴드', 61)"
784,"('기념', 61)"
785,"('분야', 61)"
786,"('개혁', 61)"
787,"('약', 61)"
788,"('조기', 61)"
789,"('본부', 61)"
790,"('사태', 61)"
791,"('철수', 61)"
792,"('문', 60)"
793,"('악화', 60)"
794,"('파크', 60)"
795,"('이노베이션', 60)"
796,"('미래에셋', 60)"
797,"('리더', 60)"
798,"('정', 60)"
799,"('출신', 60)"
800,"('심사', 60)"
801,"('프로젝트', 60)"
802,"('량', 60)"
803,"('육성', 60)"
804,"('설치', 60)"
805,"('급', 60)"
806,"('불법', 60)"
807,"('분리', 60)"
808,"('세트', 60)"
809,"('위원회', 60)"
810,"('평창', 60)"
811,"('지주사', 59)"
812,"('조회', 59)"
813,"('차세대', 59)"
814,"('이노', 59)"
815,"('노', 59)"
816,"('월드', 59)"
817,"('윤석', 59)"
818,"('반발', 59)"
819,"('산업혁명', 59)"
820,"('의무', 59)"
821,"('고민', 59)"
822,"('금제', 59)"
823,"('총수', 58)"
824,"('투', 58)"
825,"('구매', 58)"
826,"('방지', 58)"
827,"('우수', 58)"
828,"('수도권', 58)"
829,"('프로그램', 58)"
830,"('김상조', 58)"
831,"('최태원', 58)"
832,"('어린이', 58)"
833,"('나선', 58)"
834,"('의견', 58)"
835,"('화웨이', 58)"
836,"('아이폰', 58)"
837,"('디자인', 58)"
838,"('담보', 58)"
839,"('임대주택', 58)"
840,"('모비스', 58)"
841,"('모터쇼', 58)"
842,"('종목', 57)"
843,"('소재', 57)"
844,"('폐지', 57)"
845,"('업자', 57)"
846,"('항암제', 57)"
847,"('뒤', 57)"
848,"('유전자', 57)"
849,"('조직', 57)"
850,"('금주', 57)"
851,"('헬스', 57)"
852,"('금지', 57)"
853,"('힘', 57)"
854,"('통', 57)"
855,"('스포츠', 57)"
856,"('지금', 57)"
857,"('파리', 57)"
858,"('연휴', 57)"
859,"('제외', 57)"
860,"('자본', 57)"
861,"('이자', 56)"
862,"('공모', 56)"
863,"('무', 56)"
864,"('오피스텔', 56)"
865,"('보상', 56)"
866,"('서울대', 56)"
867,"('넥슨', 56)"
868,"('꿈', 56)"
869,"('친환경', 56)"
870,"('너', 56)"
871,"('라인', 56)"
872,"('케이', 56)"
873,"('제재', 56)"
874,"('가정', 55)"
875,"('어디', 55)"
876,"('폐쇄', 55)"
877,"('타워', 55)"
878,"('둔화', 55)"
879,"('매입', 55)"
880,"('증', 55)"
881,"('요금', 55)"
882,"('모든', 55)"
883,"('등장', 55)"
884,"('바람', 55)"
885,"('국산', 55)"
886,"('피', 55)"
887,"('별', 55)"
888,"('동남아', 55)"
889,"('활성화', 55)"
890,"('발언', 55)"
891,"('직', 55)"
892,"('원화', 55)"
893,"('공공기관', 55)"
894,"('원인', 55)"
895,"('의약품', 55)"
896,"('설명', 55)"
897,"('여름', 55)"
898,"('육박', 54)"
899,"('심리', 54)"
900,"('신흥', 54)"
901,"('축소', 54)"
902,"('본사', 54)"
903,"('코드', 54)"
904,"('동결', 54)"
905,"('리콜', 54)"
906,"('상용', 54)"
907,"('연구원', 54)"
908,"('공헌', 54)"
909,"('보장', 54)"
910,"('거리', 54)"
911,"('의혹', 54)"
912,"('더블', 53)"
913,"('인재', 53)"
914,"('아마존', 53)"
915,"('우선', 53)"
916,"('대회', 53)"
917,"('중앙회', 53)"
918,"('핀', 53)"
919,"('매매', 53)"
920,"('차기', 53)"
921,"('물질', 53)"
922,"('포인트', 53)"
923,"('관심', 53)"
924,"('덕', 53)"
925,"('물류', 53)"
926,"('홀딩스', 53)"
927,"('적극', 53)"
928,"('당', 53)"
929,"('여파', 53)"
930,"('정비', 53)"
931,"('요청', 53)"
932,"('충전', 53)"
933,"('위원', 53)"
934,"('처리', 53)"
935,"('재개발', 53)"
936,"('리', 52)"
937,"('기존', 52)"
938,"('상담', 52)"
939,"('선박', 52)"
940,"('신제품', 52)"
941,"('도전', 52)"
942,"('철', 52)"
943,"('감독', 52)"
944,"('패션', 52)"
945,"('공간', 52)"
946,"('위반', 52)"
947,"('인터뷰', 52)"
948,"('정상화', 52)"
949,"('부과', 52)"
950,"('땅', 51)"
951,"('등록', 51)"
952,"('르노', 51)"
953,"('비즈니스', 51)"
954,"('수도', 51)"
955,"('캘린더', 51)"
956,"('이사장', 51)"
957,"('신차', 51)"
958,"('간', 51)"
959,"('업', 51)"
960,"('엘리엇', 51)"
961,"('과제', 51)"
962,"('시범', 51)"
963,"('보험사', 51)"
964,"('법정관리', 51)"
965,"('신년사', 51)"
966,"('자영', 50)"
967,"('적발', 50)"
968,"('증권사', 50)"
969,"('보합', 50)"
970,"('선택', 50)"
971,"('후원', 50)"
972,"('망', 50)"
973,"('공단', 50)"
974,"('예산', 50)"
975,"('북한', 50)"
976,"('카메라', 50)"
977,"('누구', 50)"
978,"('과세', 50)"
979,"('굿모닝', 50)"
980,"('구조', 49)"
981,"('초과', 49)"
982,"('회수', 49)"
983,"('램', 49)"
984,"('상무', 49)"
985,"('접수', 49)"
986,"('공매도', 49)"
987,"('박람회', 49)"
988,"('콘퍼런스', 49)"
989,"('및', 49)"
990,"('사진', 49)"
991,"('사기', 49)"
992,"('백신', 49)"
993,"('해소', 49)"
994,"('유출', 49)"
995,"('검', 49)"
996,"('비율', 49)"
997,"('진', 49)"
998,"('개국', 49)"
999,"('통신사', 49)"
1000,"('약사', 49)"
1001,"('혐의', 49)"
1002,"('버스', 49)"
1003,"('배달', 49)"
1004,"('변화', 49)"
1005,"('탑재', 49)"
1006,"('상가', 49)"
1007,"('노선', 49)"
1008,"('모친상', 49)"
1009,"('개정', 49)"
1010,"('인텔', 49)"
1011,"('영상', 48)"
1012,"('택시', 48)"
1013,"('암호', 48)"
1014,"('석유화학', 48)"
1015,"('로또', 48)"
1016,"('중심', 48)"
1017,"('사주', 48)"
1018,"('돌입', 48)"
1019,"('발생', 48)"
1020,"('상생', 48)"
1021,"('내정', 48)"
1022,"('감', 48)"
1023,"('첨단', 48)"
1024,"('취소', 48)"
1025,"('국회', 48)"
1026,"('케어', 48)"
1027,"('포함', 48)"
1028,"('자체', 48)"
1029,"('저축은행', 48)"
1030,"('도약', 48)"
1031,"('조작', 48)"
1032,"('파업', 48)"
1033,"('오른', 47)"
1034,"('싱가포르', 47)"
1035,"('예정', 47)"
1036,"('일반', 47)"
1037,"('동반', 47)"
1038,"('이전', 47)"
1039,"('카', 47)"
1040,"('편', 47)"
1041,"('확산', 47)"
1042,"('주문', 47)"
1043,"('이하', 47)"
1044,"('확장', 47)"
1045,"('회계', 47)"
1046,"('점유', 47)"
1047,"('진흥', 47)"
1048,"('진화', 47)"
1049,"('파트너', 47)"
1050,"('종부세', 47)"
1051,"('인근', 47)"
1052,"('첫날', 46)"
1053,"('토지', 46)"
1054,"('북미', 46)"
1055,"('휴가', 46)"
1056,"('보험료', 46)"
1057,"('대림', 46)"
1058,"('허용', 46)"
1059,"('기준금리', 46)"
1060,"('부족', 46)"
1061,"('알', 46)"
1062,"('변신', 46)"
1063,"('즉시', 46)"
1064,"('벤츠', 46)"
1065,"('부활', 46)"
1066,"('품질', 46)"
1067,"('은행권', 46)"
1068,"('절차', 46)"
1069,"('근로', 46)"
1070,"('의원', 46)"
1071,"('구역', 46)"
1072,"('신입', 46)"
1073,"('상황', 46)"
1074,"('총괄', 45)"
1075,"('개막', 45)"
1076,"('택배', 45)"
1077,"('소형', 45)"
1078,"('일감', 45)"
1079,"('발견', 45)"
1080,"('교통', 45)"
1081,"('대금', 45)"
1082,"('대란', 45)"
1083,"('임명', 45)"
1084,"('긍정', 45)"
1085,"('승률', 45)"
1086,"('에어컨', 45)"
1087,"('코인', 45)"
1088,"('끝', 44)"
1089,"('급감', 44)"
1090,"('납품', 44)"
1091,"('서도', 44)"
1092,"('하나은행', 44)"
1093,"('추락', 44)"
1094,"('관광', 44)"
1095,"('부실', 44)"
1096,"('현실', 44)"
1097,"('사냥', 44)"
1098,"('트', 44)"
1099,"('션', 44)"
1100,"('밀러', 44)"
1101,"('온', 44)"
1102,"('연봉', 44)"
1103,"('제출', 44)"
1104,"('보수', 44)"
1105,"('대구', 44)"
1106,"('팔자', 44)"
1107,"('단계', 44)"
1108,"('여의도', 44)"
1109,"('연구소', 44)"
1110,"('김홍진', 44)"
1111,"('정규직', 43)"
1112,"('광', 43)"
1113,"('구진', 43)"
1114,"('학회', 43)"
1115,"('미디어', 43)"
1116,"('여부', 43)"
1117,"('영화', 43)"
1118,"('제일제당', 43)"
1119,"('보호', 43)"
1120,"('보고', 43)"
